"applno","productno","form","strength","referencedrug","drugname","activeingredient","referencestandard","tecode"
18460,3,"SOLUTION;INTRAPERITONEAL","29MG/100ML;4.25GM/100ML;15MG/100ML;610MG/100ML;560MG/100ML",0,"DIALYTE W/ DEXTROSE 4.25% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE","0",
18460,4,"SOLUTION;INTRAPERITONEAL","26MG/100ML;4.25GM/100ML;15MG/100ML;560MG/100ML;390MG/100ML",0,"DIALYTE LM/ DEXTROSE 4.25% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18460,5,"SOLUTION;INTRAPERITONEAL","26MG/100ML;2.5GM/100ML;5MG/100ML;530MG/100ML;450MG/100ML",0,"DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18460,6,"SOLUTION;INTRAPERITONEAL","29MG/100ML;2.5GM/100ML;15MG/100ML;610MG/100ML;560MG/100ML",0,"DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE","0",
18460,7,"SOLUTION;INTRAPERITONEAL","26MG/100ML;1.5GM/100ML;5MG/100ML;530MG/100ML;450MG/100ML",0,"DIALYTE LM/ DEXTROSE 1.5% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18460,8,"SOLUTION;INTRAPERITONEAL","26MG/100ML;5GM/100ML;5MG/100ML;530MG/100ML;450MG/100ML",0,"DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18460,9,"SOLUTION;INTRAPERITONEAL","26MG/100ML;4.25GM/100ML;5MG/100ML;530MG/100ML;450MG/100ML",0,"DIALYTE LM/ DEXTROSE 4.25% IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18461,1,"INJECTABLE;INJECTION","100MG/100ML",0,"LIDOCAINE HYDROCHLORIDE 0.1% AND DEXTROSE 5% IN PLASTIC CONTAINER","LIDOCAINE HYDROCHLORIDE","0",
18461,2,"INJECTABLE;INJECTION","200MG/100ML",0,"LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER","LIDOCAINE HYDROCHLORIDE","0",
18461,3,"INJECTABLE;INJECTION","400MG/100ML",0,"LIDOCAINE HYDROCHLORIDE 0.4% AND DEXTROSE 5% IN PLASTIC CONTAINER","LIDOCAINE HYDROCHLORIDE","0",
18461,4,"INJECTABLE;INJECTION","800MG/100ML",0,"LIDOCAINE HYDROCHLORIDE 0.8% AND DEXTROSE 5% IN PLASTIC CONTAINER","LIDOCAINE HYDROCHLORIDE","0",
18462,1,"SOLUTION;IRRIGATION","33MG/100ML;30MG/100ML;860MG/100ML",0,"RINGER'S IN PLASTIC CONTAINER","CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18465,1,"INJECTABLE;INJECTION","10%",0,"SOYACAL 10%","SOYBEAN OIL","0",
18467,1,"INJECTABLE;INJECTION","N/A",0,"HEPATOLITE","TECHNETIUM TC-99M DISOFENIN KIT","0",
18469,1,"SOLUTION;IRRIGATION","0.154MG/ML;0.92MG/ML;0.184MG/ML;0.2MG/ML;0.38MG/ML;2.1MG/ML;7.14MG/ML;0.42MG/ML",1,"BSS PLUS","CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE","1",
18470,1,"INJECTABLE;INJECTION","0.5MG/VIAL",0,"CIBACALCIN","CALCITONIN HUMAN","0",
18471,1,"SOLUTION/DROPS;OPHTHALMIC","0.025%",0,"OCUCLEAR","OXYMETAZOLINE HYDROCHLORIDE","0",
18473,1,"AEROSOL, METERED;INHALATION","0.09MG/INH",0,"VENTOLIN","ALBUTEROL","0",
18476,1,"INJECTABLE;INJECTION","100 UNITS/ML",0,"PROTAMINE ZINC AND ILETIN II","INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF","0",
18477,1,"INJECTABLE;INJECTION","100 UNITS/ML",0,"LENTE ILETIN II","INSULIN ZINC SUSP PURIFIED BEEF","0",
18478,1,"INJECTABLE;INJECTION","100 UNITS/ML",0,"REGULAR ILETIN II","INSULIN PURIFIED BEEF","0",
18479,1,"INJECTABLE;INJECTION","100 UNITS/ML",0,"NPH ILETIN II","INSULIN SUSP ISOPHANE PURIFIED BEEF","0",
18482,1,"CAPSULE;ORAL","10MG",1,"PROCARDIA","NIFEDIPINE","1",
18482,2,"CAPSULE;ORAL","20MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"PROCARDIA","NIFEDIPINE","0",
18484,1,"INJECTABLE;INJECTION","0.5MG/ML",1,"PROSTIN VR PEDIATRIC","ALPROSTADIL","1",
18485,1,"INJECTABLE;INJECTION","2.5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"ISOPTIN","VERAPAMIL HYDROCHLORIDE","0",
18487,1,"TABLET;ORAL","20MG",0,"FUROSEMIDE","FUROSEMIDE","0",
18487,2,"TABLET;ORAL","40MG",0,"FUROSEMIDE","FUROSEMIDE","0",
18489,1,"INJECTABLE;INJECTION","N/A",0,"TECHNESCAN HIDA","TECHNETIUM TC-99M LIDOFENIN KIT","0",
18494,1,"SOLUTION;IRRIGATION","20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML",0,"LACTATED RINGER'S IN PLASTIC CONTAINER","CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18495,1,"SOLUTION;IRRIGATION","33MG/100ML;30MG/100ML;860MG/100ML",0,"RINGER'S IN PLASTIC CONTAINER","CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18497,1,"SOLUTION;IRRIGATION","450MG/100ML",0,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER","SODIUM CHLORIDE","0",
18498,1,"OINTMENT;TOPICAL","0.1%",1,"CYCLOCORT","AMCINONIDE","0",
18499,1,"INJECTABLE;INJECTION","20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML",0,"DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER","CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","0",
18500,1,"INJECTABLE;INJECTION","5GM/100ML;900MG/100ML",0,"DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","DEXTROSE; SODIUM CHLORIDE","0",
18501,1,"INJECTABLE;INJECTION","5GM/100ML;300MG/100ML",0,"DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER","DEXTROSE; SODIUM CHLORIDE","0",
18502,1,"INJECTABLE;INJECTION","900MG/100ML",0,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","SODIUM CHLORIDE","0",
18503,1,"INJECTABLE;INJECTION","450MG/100ML",0,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER","SODIUM CHLORIDE","0",
18504,1,"INJECTABLE;INJECTION","10GM/100ML",0,"DEXTROSE 10% IN PLASTIC CONTAINER","DEXTROSE","0",
18506,1,"TABLET, EXTENDED RELEASE;ORAL","1MG;120MG",0,"TRINALIN","AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE","0",
18507,1,"INJECTABLE;INJECTION","10MG/ML",0,"FUROSEMIDE","FUROSEMIDE","0",
18508,1,"SOLUTION;IRRIGATION","20MG/100ML;40MG/100ML;6.25MG/100ML;800MG/100ML;8.75MG/100ML",0,"TIS-U-SOL","MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE","0",
18509,1,"GRANULE, EFFERVESCENT;ORAL","460MG/GM;420MG/GM",0,"BAROS","SODIUM BICARBONATE; TARTARIC ACID","0",
18511,1,"INJECTABLE;INJECTION","N/A",1,"DTPA","TECHNETIUM TC-99M PENTETATE KIT","1",
18512,1,"SOLUTION;IRRIGATION","3GM/100ML",0,"SORBITOL 3% IN PLASTIC CONTAINER","SORBITOL","0",
18513,2,"TABLET;ORAL","250MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"CHENIX","CHENODIOL","0",
18514,1,"CREAM;TOPICAL","0.1%",1,"LOCOID","HYDROCORTISONE BUTYRATE","1",
18517,1,"TABLET;ORAL","250MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18517,2,"TABLET;ORAL","500MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18519,1,"SOLUTION;IRRIGATION","3.24GM/100ML;380MG/100ML;430MG/100ML",0,"IRRIGATING SOLUTION G IN PLASTIC CONTAINER","CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE","0",
18520,2,"SUPPOSITORY;VAGINAL","100MG",1,"MONISTAT 7","MICONAZOLE NITRATE","1",
18521,1,"AEROSOL, METERED;NASAL","0.042MG/INH",0,"VANCENASE","BECLOMETHASONE DIPROPIONATE","0",
18522,1,"SOLUTION;IRRIGATION","1.5GM/100ML",0,"GLYCINE 1.5% IN PLASTIC CONTAINER","GLYCINE","0",
18523,1,"SOLUTION;IRRIGATION, URETHRAL","250MG/100ML",0,"ACETIC ACID 0.25% IN PLASTIC CONTAINER","ACETIC ACID, GLACIAL","0",
18531,1,"INJECTABLE;INJECTION","5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"NITROGLYCERIN","NITROGLYCERIN","0",
18533,1,"TABLET;ORAL","200MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"NIZORAL","KETOCONAZOLE","0",
18535,1,"TABLET;ORAL","2.5MG",0,"DIULO","METOLAZONE","0",
18535,2,"TABLET;ORAL","5MG",0,"DIULO","METOLAZONE","0",
18535,3,"TABLET;ORAL","10MG",0,"DIULO","METOLAZONE","0",
18536,1,"GAS;INHALATION","5mCi/VIAL",0,"XENON XE 127","XENON XE-127","0",
18536,2,"GAS;INHALATION","10mCi/VIAL",0,"XENON XE 127","XENON XE-127","0",
18537,1,"INJECTABLE;INJECTION","5MG/ML",0,"TRIDIL","NITROGLYCERIN","0",
18537,2,"INJECTABLE;INJECTION","0.5MG/ML",0,"TRIDIL","NITROGLYCERIN","0",
18538,1,"TABLET;ORAL","2.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"LOZOL","INDAPAMIDE","0",
18538,2,"TABLET;ORAL","1.25MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"LOZOL","INDAPAMIDE","0",
18543,1,"INJECTABLE;INJECTION","1GM/VIAL",0,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE","0",
18543,2,"INJECTABLE;INJECTION","2GM/VIAL",0,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE","0",
18548,1,"INJECTABLE;INJECTION","1mCi/ML",0,"THALLOUS CHLORIDE TL 201","THALLOUS CHLORIDE TL-201","0",
18549,1,"INJECTABLE;INJECTION","40MG/ML",0,"DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE","0",
18550,2,"TABLET;ORAL","100MG",0,"RIMADYL","CARPROFEN","0",
18550,3,"TABLET;ORAL","150MG",0,"RIMADYL","CARPROFEN","0",
18551,1,"SOLUTION;ORAL","1GM/ML",0,"POTASSIUM IODIDE","POTASSIUM IODIDE","0",
18553,1,"CAPSULE, EXTENDED RELEASE;ORAL","160MG",1,"INDERAL LA","PROPRANOLOL HYDROCHLORIDE","1",
18553,2,"CAPSULE, EXTENDED RELEASE;ORAL","80MG",1,"INDERAL LA","PROPRANOLOL HYDROCHLORIDE","0",
18553,3,"CAPSULE, EXTENDED RELEASE;ORAL","120MG",1,"INDERAL LA","PROPRANOLOL HYDROCHLORIDE","0",
18553,4,"CAPSULE, EXTENDED RELEASE;ORAL","60MG",1,"INDERAL LA","PROPRANOLOL HYDROCHLORIDE","0",
18554,1,"CAPSULE;ORAL","125MG",1,"EULEXIN","FLUTAMIDE","0",
18555,1,"TABLET;ORAL","10MG",0,"YUTOPAR","RITODRINE HYDROCHLORIDE","0",
18557,1,"TABLET;ORAL","25MG;500MG",0,"FANSIDAR","PYRIMETHAMINE; SULFADOXINE","0",
18558,1,"TABLET;ORAL","300MG",1,"LITHIUM CARBONATE","LITHIUM CARBONATE","1",
18561,1,"INJECTABLE;INJECTION","70GM/100ML",1,"DEXTROSE 70% IN PLASTIC CONTAINER","DEXTROSE","1",
18562,1,"INJECTABLE;INJECTION","40GM/100ML",1,"DEXTROSE 40% IN PLASTIC CONTAINER","DEXTROSE","1",
18563,1,"INJECTABLE;INJECTION","50GM/100ML",1,"DEXTROSE 50% IN PLASTIC CONTAINER","DEXTROSE","1",
18564,1,"INJECTABLE;INJECTION","20GM/100ML",1,"DEXTROSE 20% IN PLASTIC CONTAINER","DEXTROSE","1",
18565,1,"INJECTABLE;INJECTION","0.5MG/ML",1,"DURAMORPH PF","MORPHINE SULFATE","1",
18565,2,"INJECTABLE;INJECTION","1MG/ML",1,"DURAMORPH PF","MORPHINE SULFATE","1",
18565,3,"INJECTABLE;INJECTION","10MG/ML",1,"INFUMORPH","MORPHINE SULFATE","1",
18565,4,"INJECTABLE;INJECTION","25MG/ML",1,"INFUMORPH","MORPHINE SULFATE","1",
18569,1,"TABLET;ORAL","40MG",0,"FUROSEMIDE","FUROSEMIDE","0",
18569,2,"TABLET;ORAL","20MG",0,"FUROSEMIDE","FUROSEMIDE","0",
18569,5,"TABLET;ORAL","80MG",0,"FUROSEMIDE","FUROSEMIDE","0",
18571,1,"INJECTABLE;INJECTION","1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"BRETHINE","TERBUTALINE SULFATE","0",
18578,1,"CREAM;TOPICAL","1%",0,"SSD","SILVER SULFADIAZINE","0",
18578,3,"CREAM;TOPICAL","1%",0,"SSD AF","SILVER SULFADIAZINE","0",
18579,1,"INJECTABLE;INJECTION","10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"FUROSEMIDE","FUROSEMIDE","0",
18580,1,"INJECTABLE;INJECTION","10MG/ML",0,"YUTOPAR","RITODRINE HYDROCHLORIDE","0",
18580,2,"INJECTABLE;INJECTION","15MG/ML",0,"YUTOPAR","RITODRINE HYDROCHLORIDE","0",
18581,1,"INJECTABLE;INJECTION","50MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"SODIUM NITROPRUSSIDE","SODIUM NITROPRUSSIDE","0",
18582,1,"INJECTABLE;INJECTION","3%;26MG/100ML;3GM/100ML;54MG/100ML;41MG/100ML;150MG/100ML;200MG/100ML;120MG/100ML",0,"PROCALAMINE","AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE","0",
18584,1,"AEROSOL, METERED;NASAL","0.042MG/INH",0,"BECONASE","BECLOMETHASONE DIPROPIONATE","0",
18586,1,"GEL;TOPICAL","0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"TOPICORT","DESOXIMETASONE","0",
18587,1,"TABLET;ORAL","EQ 4MG BASE",0,"WYTENSIN","GUANABENZ ACETATE","0",
18587,2,"TABLET;ORAL","EQ 8MG BASE",0,"WYTENSIN","GUANABENZ ACETATE","0",
18587,3,"TABLET;ORAL","EQ 16MG BASE",0,"WYTENSIN","GUANABENZ ACETATE","0",
18588,1,"INJECTABLE;INJECTION","0.8MG/ML",0,"NITROSTAT","NITROGLYCERIN","0",
18588,2,"INJECTABLE;INJECTION","5MG/ML",0,"NITROSTAT","NITROGLYCERIN","0",
18590,1,"INJECTABLE;INJECTION","250MG/ML",0,"AMINOCAPROIC ACID","AMINOCAPROIC ACID","0",
18592,1,"TAMPON;VAGINAL","100MG",0,"MONISTAT 5","MICONAZOLE NITRATE","0",
18593,1,"TABLET;ORAL","80MG",0,"ISOPTIN","VERAPAMIL HYDROCHLORIDE","0",
18593,2,"TABLET;ORAL","120MG",0,"ISOPTIN","VERAPAMIL HYDROCHLORIDE","0",
18593,3,"TABLET;ORAL","40MG",0,"ISOPTIN","VERAPAMIL HYDROCHLORIDE","0",
18594,1,"OINTMENT;TOPICAL","0.05%",1,"TOPICORT","DESOXIMETASONE","1",
18596,1,"SOLUTION;INHALATION","10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"INTAL","CROMOLYN SODIUM","0",
18598,3,"TABLET;ORAL","400MG;80MG",0,"SULFAMETHOXAZOLE AND TRIMETHOPRIM","SULFAMETHOXAZOLE; TRIMETHOPRIM","0",
18598,4,"TABLET;ORAL","800MG;160MG",0,"SULFAMETHOXAZOLE AND TRIMETHOPRIM DOUBLE STRENGTH","SULFAMETHOXAZOLE; TRIMETHOPRIM","0",
18599,1,"TABLET;ORAL","250MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18599,2,"TABLET;ORAL","500MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18602,1,"TABLET;ORAL","30MG",1,"CARDIZEM","DILTIAZEM HYDROCHLORIDE","0",
18602,2,"TABLET;ORAL","60MG",1,"CARDIZEM","DILTIAZEM HYDROCHLORIDE","0",
18602,3,"TABLET;ORAL","90MG",1,"CARDIZEM","DILTIAZEM HYDROCHLORIDE","0",
18602,4,"TABLET;ORAL","120MG",1,"CARDIZEM","DILTIAZEM HYDROCHLORIDE","1",
18603,1,"INJECTABLE;INJECTION","EQ 500MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"ZOVIRAX","ACYCLOVIR SODIUM","0",
18603,2,"INJECTABLE;INJECTION","EQ 1GM BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"ZOVIRAX","ACYCLOVIR SODIUM","0",
18603,3,"INJECTABLE;INJECTION","EQ 250MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"ZOVIRAX","ACYCLOVIR SODIUM","0",
18604,1,"OINTMENT;TOPICAL","5%",1,"ZOVIRAX","ACYCLOVIR","1",
18605,1,"SUSPENSION;ORAL","250MG/5ML",0,"AZULFIDINE","SULFASALAZINE","0",
18608,1,"SOLUTION;PERFUSION, CARDIAC","17.6MG/100ML;325.3MG/100ML;119.3MG/100ML;643MG/100ML",1,"PLEGISOL IN PLASTIC CONTAINER","CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","1",
18609,1,"INJECTABLE;INJECTION","200 UNITS/100ML",0,"HEPARIN SODIUM 1,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","HEPARIN SODIUM","0",
18609,2,"INJECTABLE;INJECTION","200 UNITS/100ML",0,"HEPARIN SODIUM 2,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","HEPARIN SODIUM","0",
18609,3,"INJECTABLE;INJECTION","500 UNITS/100ML",0,"HEPARIN SODIUM 5,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","HEPARIN SODIUM","0",
18612,2,"GUM, CHEWING;BUCCAL","EQ 2MG BASE",1,"NICORETTE","NICOTINE POLACRILEX","0",
18612,3,"GUM, CHEWING;BUCCAL","EQ 2MG BASE",1,"NICORETTE (MINT)","NICOTINE POLACRILEX","0",
18612,4,"GUM, CHEWING;BUCCAL","EQ 2MG BASE",1,"NICORETTE","NICOTINE POLACRILEX","0",
18613,1,"LOTION;TOPICAL","0.5%",1,"OVIDE","MALATHION","1",
18614,1,"INJECTABLE;INJECTION","20% (20GM/100ML)",0,"LIPOSYN 20%","SAFFLOWER OIL","0",
18615,1,"SUSPENSION;ORAL","200MG/5ML;40MG/5ML",0,"SULFATRIM PEDIATRIC","SULFAMETHOXAZOLE; TRIMETHOPRIM","0",
18615,2,"SUSPENSION;ORAL","200MG/5ML;40MG/5ML",0,"SULFATRIM","SULFAMETHOXAZOLE; TRIMETHOPRIM","0",
18620,1,"TABLET;ORAL","250MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18620,2,"TABLET;ORAL","500MG",0,"METRONIDAZOLE","METRONIDAZOLE","0",
18621,1,"INJECTABLE;INJECTION","5MG/ML",0,"NITRO-BID","NITROGLYCERIN","0",
18623,1,"INJECTABLE;INJECTION","100 UNITS/ML",0,"NPH PURIFIED PORK ISOPHANE INSULIN","INSULIN SUSP ISOPHANE PURIFIED PORK","0",
18625,1,"INJECTABLE;INJECTION","12,500 UNITS/VIAL",0,"DISCASE","CHYMOPAPAIN","0",
18629,1,"INJECTABLE;INJECTION","5GM/100ML;75MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,2,"INJECTABLE;INJECTION","5GM/100ML;150MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,3,"INJECTABLE;INJECTION","5GM/100ML;224MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,4,"INJECTABLE;INJECTION","5GM/100ML;150MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,5,"INJECTABLE;INJECTION","5GM/100ML;75MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,6,"INJECTABLE;INJECTION","5GM/100ML;300MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,7,"INJECTABLE;INJECTION","5GM/100ML;224MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18629,8,"INJECTABLE;INJECTION","5GM/100ML;300MG/100ML;330MG/100ML",0,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","0",
18631,1,"TABLET, EXTENDED RELEASE;ORAL","400MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"TRENTAL","PENTOXIFYLLINE","0",
18632,1,"LIQUID;N/A","100%",1,"STERILE WATER FOR INJECTION IN PLASTIC CONTAINER","STERILE WATER FOR INJECTION","1",
18632,2,"LIQUID;N/A","100%",1,"STERILE WATER FOR INJECTION IN PLASTIC CONTAINER","STERILE WATER FOR INJECTION","1",
18634,1,"SOLUTION/DROPS;OPHTHALMIC","5%",1,"BETADINE","POVIDONE-IODINE","1",
18642,1,"CREAM;TOPICAL","EQ 0.1% BASE",0,"BETA-VAL","BETAMETHASONE VALERATE","0",
18644,1,"TABLET;ORAL","50MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"WELLBUTRIN","BUPROPION HYDROCHLORIDE","0",
18644,2,"TABLET;ORAL","75MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"WELLBUTRIN","BUPROPION HYDROCHLORIDE","0",
18644,3,"TABLET;ORAL","100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"WELLBUTRIN","BUPROPION HYDROCHLORIDE","0",
18647,1,"TABLET;ORAL","5MG;40MG",1,"CORZIDE","BENDROFLUMETHIAZIDE; NADOLOL","0",
18647,2,"TABLET;ORAL","5MG;80MG",1,"CORZIDE","BENDROFLUMETHIAZIDE; NADOLOL","1",
18649,1,"INJECTABLE;INJECTION","40MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,2,"INJECTABLE;INJECTION","80MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,3,"INJECTABLE;INJECTION","160MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,4,"INJECTABLE;INJECTION","200MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,5,"INJECTABLE;INJECTION","400MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,6,"INJECTABLE;INJECTION","320MG/100ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18649,7,"INJECTABLE;INJECTION","4MG/ML",0,"THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER","THEOPHYLLINE","0",
18651,1,"CAPSULE;ORAL","2.5MG",1,"MARINOL","DRONABINOL","0",
18651,2,"CAPSULE;ORAL","5MG",1,"MARINOL","DRONABINOL","1",
18651,3,"CAPSULE;ORAL","10MG",1,"MARINOL","DRONABINOL","0",
18652,1,"OINTMENT;TOPICAL","0.1%",1,"LOCOID","HYDROCORTISONE BUTYRATE","1",
18654,1,"INJECTABLE;INJECTION","EQ 5MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"VERSED","MIDAZOLAM HYDROCHLORIDE","0",
18654,2,"INJECTABLE;INJECTION","EQ 1MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",1,"VERSED","MIDAZOLAM HYDROCHLORIDE","0",
18655,1,"CAPSULE, EXTENDED RELEASE;ORAL","EQ 100MG BASE",1,"NORPACE CR","DISOPYRAMIDE PHOSPHATE","0",
18655,2,"CAPSULE, EXTENDED RELEASE;ORAL","EQ 150MG BASE",1,"NORPACE CR","DISOPYRAMIDE PHOSPHATE","1",
