"revpanstr","revpan","medspecstr","medspec","prodcode","devname","devclassstr","devclass","unclass","gmpexempt","thirdpartystr","thirdparty","revcode3str","revcode3","regnum","typeid","def","physstate","techmeth","targetarea","implant","lifesust"
"TX",8488,"TX",8488,"DNA","Radioimmunoassay, Morphine-Barbiturate (125-I), Goat Antibody","2",2,,"N","Y",89,,,862.364013671875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNC","Strip, Paper, Salicylate","2",2,,"N","P",80,,,862.382995605469,1,,,,,"N","N"
"TX",8488,"TX",8488,"DND","Radioimmunoassay, Digitoxin (125-I), Rabbit Antibody, Solid Phase Sep.","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNE","Atomic Absorption, Antimony","1",1,,"N","Y",89,,,862.310974121094,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNF","Liquid Chromatography, Ethosuximide","2",2,,"N","P",80,,,862.338012695312,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNG","Free Radical, Benzoylecgnonine","2",2,,"N","Y",89,,,862.325012207031,1,,,,,"N","N"
"TX",8488,"CH",6772,"DNH","Resins, Ion-Exchange, Liquid Chromatography","1",1,,"N","N",78,,,862.226013183594,4,,,,,"N","N"
"TX",8488,"TX",8488,"DNI","Liquid Chromatography, Amphetamine","2",2,,"N","Y",89,,,862.309997558594,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNJ","Radioimmunoassay, Digoxin (125-I), Goat Antibody, 2nd Antibody Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNK","Thin Layer Chromatography, Morphine","2",2,,"N","Y",89,,,862.364013671875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNL","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Second Antibody Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNN","Calibrators, Ethyl Alcohol","2",2,,"N","Y",89,,,862.320007324219,4,,,,,"N","N"
"TX",8488,"TX",8488,"DNO","Hemagglutination Inhibition, Gentamicin","2",2,,"N","P",80,,,862.344970703125,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNP","Thin Layer Chromatography, Ethosuximide","2",2,,"N","P",80,,,862.338012695312,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNQ","Radioimmunoassay, Digoxin (3-H), Rabbit Antibody, Coated Tubes Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNS","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Double Label Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNT","Liquid Chromatography, Methadone","2",2,,"N","Y",89,,,862.361999511719,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNW","Radioimmunoassay, Digitoxin (3-H), Rabbit Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNX","Lead, Protoporphyrin Zinc Method, Fluorometric","2",2,,"N","P",80,,,862.35498046875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DNZ","Atomic Absorption, Arsenic","1",1,,"N","Y",89,,,862.31201171875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOA","Radioimmunoassay, Digoxin (125-I), Goat Antibody, Anion Exchange, Resin Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOB","Radioimmunoassay, Digitoxin (3-H)","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOD","Gas Chromatography, Amphetamine","2",2,,"N","Y",89,,,862.309997558594,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOE","Radioimmunoassay, Morphine (125-I), Goat Antibody Ammonium Sulfate Sep.","2",2,,"N","Y",89,,,862.364013671875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOF","Lead, Atomic Absorption","2",2,,"N","P",80,,,862.35498046875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOG","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Polyethylene Glycol","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOH","Electrometry, Cholinesterase","1",1,,"N","Y",89,,,862.323974609375,4,,,,,"N","N"
"TX",8488,"TX",8488,"DOJ","Potassium Dichromate, Alcohol","2",2,,"N","P",80,,,862.304016113281,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOK","Free Radical Assay, Morphine","2",2,,"N","Y",89,,,862.364013671875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOL","Free Radical Assay, Lsd","2",2,,"N","P",80,,,862.357971191406,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOM","Thin Layer Chromatography, Benzoylecgnonine","2",2,,"N","Y",89,,,862.325012207031,1,,,,,"N","N"
"TX",8488,"TX",8488,"DON","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Solid Phase Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOO","Liquid Chromatography, Phenobarbital","2",2,,"N","P",80,,,862.366027832031,1,,,,,"N","N"
"TX",8488,"CH",6772,"DOP","Mass Spectrometer, Clinical Use","1",1,,"N","N",78,,,862.286010742188,4,,,,,"N","N"
"TX",8488,"TX",8488,"DOR","Radioimmunoassay, Digoxin (3-H), Bovine Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOS","Thin Layer Chromatography, Primidone","2",2,,"N","P",80,,,862.367980957031,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOW","Radioimmunoassay, Digitoxin (3-H), Rabbit Antibody, Coated Tube","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOX","Fluorometer, Lead (Dedicated Instruments)","2",2,,"N","P",80,,,862.35498046875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOY","Radioimmunoassay, Digoxin (3-H), Goat Antibody, 2nd Antibody Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DOZ","Liquid Chromatography, Diphenylhydantoin","2",2,,"N","P",80,,,862.335021972656,1,,,,,"N","N"
"TX",8488,"CH",6772,"DPA","Apparatus, General Use, Thin Layer Chromatography","1",1,,"Y","N",78,,,862.226989746094,4,,,,,"N","N"
"TX",8488,"TX",8488,"DPB","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPD","Radioimmunoassay, Digoxin (3-H), Rabbit Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPE","Thin Layer Chromatography, Diphenylhydantoin","2",2,,"N","P",80,,,862.335021972656,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPG","Radioimmunoassay, Digitoxin (125-I), Rabbit Antibody, Coated Tube Sep.","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPH","Mercury, Atomic Absorption","1",1,,"N","Y",89,,,862.359985351562,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPI","Radioimmunoassay, Digoxin (125-I), Bovine Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPJ","Radioimmunoassay, Amphetamine (125-I), Goat Antibody, Ammonium Sulfate Sep.","2",2,,"N","Y",89,,,862.309997558594,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPK","Liquid Chromatography, Morphine","2",2,,"N","Y",89,,,862.364013671875,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPL","Radioimmunoassay, Digitoxin (125-I), Bovine Antibody, Charcoal Sep.","2",2,,"N","P",80,,,862.330017089844,1,,,,,"N","N"
"TX",8488,"CH",6772,"DPM","Columns, Liquid Chromatography","1",1,,"N","N",78,,,862.226013183594,4,,,,,"N","N"
"TX",8488,"TX",8488,"DPN","Thin Layer Chromatography, Propoxyphene","2",2,,"N","P",80,,,862.369995117188,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPO","Radioimmunoassay, Digoxin (125-I), Rabbit Antibody, Coated Tube Sep.","2",2,,"N","P",80,,,862.331970214844,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPP","Free Radical Assay, Methadone","2",2,,"N","Y",89,,,862.361999511719,1,,,,,"N","N"
"TX",8488,"TX",8488,"DPQ","Liquid Chromatography, Primidone","2",2,,"N","P",80,,,862.367980957031,1,,,,,"N","N"
"CV",6786,"CV",6786,"DPS","Electrocardiograph","2",2,,"N","Y",89,"M",77,870.234008789062,1,,,,,"N","N"
"CV",6786,"CV",6786,"DPT","Probe, Blood-Flow, Extravascular","2",2,,"N","P",80,,,870.211975097656,1,,,,,"N","N"
"CV",6786,"CV",6786,"DPW","Flowmeter, Blood, Cardiovascular","2",2,,"N","P",80,,,870.210021972656,1,,,,,"N","N"
"AN",6578,"CV",6786,"DPZ","Oximeter, Ear","2",2,,"N","N",78,,,870.27099609375,1,,,,,"N","N"
"AN",6578,"CV",6786,"DQA","Oximeter","2",2,,"N","N",78,,,870.27001953125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQB","Phlebograph, Impedance","2",2,,"N","P",80,,,870.275024414062,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQC","Phonocardiograph","1",1,,"N","N",78,,,870.239013671875,4,,,,,"N","N"
"CV",6786,"CV",6786,"DQD","Stethoscope, Electronic","2",2,,"N","P",80,,,870.1875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQE","Catheter, Oximeter, Fiber-Optic","2",2,,"N","P",80,,,870.122985839844,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQF","Actuator, Syringe, Injector Type","2",2,,"N","P",80,,,870.1669921875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQG","Microsphere, Trace","3",3,,"N","N",78,,,870.135986328125,2,"Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))",,,,"Y","N"
"CV",6786,"CV",6786,"DQH","Cardiograph, Apex (Vibrocardiograph)","2",2,,"N","P",80,,,870.231018066406,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQI","Withdrawal/Infusion Pump","2",2,,"N","P",80,,,870.179992675781,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQK","Computer, Diagnostic, Programmable","2",2,,"N","P",80,,,870.142517089844,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQO","Catheter, Intravascular, Diagnostic","2",2,,"N","P",80,,,870.119995117188,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQP","Kit, Balloon Repair, Catheter","3",3,,"N","N",78,,,870.135009765625,2,"Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))",,,,"N","N"
"CV",6786,"CV",6786,"DQR","Cannula, Catheter","2",2,,"N","P",80,,,870.130004882812,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQT","Occluder, Catheter Tip","2",2,,"N","P",80,,,870.137023925781,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQX","Wire, Guide, Catheter","2",2,,"N","P",80,,,870.132995605469,1,,,,,"N","N"
"CV",6786,"CV",6786,"DQY","Catheter, Percutaneous","2",2,,"N","P",80,,,870.125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRA","Catheter, Steerable","2",2,,"N","P",80,,,870.127990722656,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRB","Stylet, Catheter","2",2,,"N","P",80,,,870.138000488281,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRC","Trocar","2",2,,"N","P",80,,,870.138977050781,4,,,,,"N","N"
"CV",6786,"CV",6786,"DRE","Dilator, Vessel, For Percutaneous Catheterization","2",2,,"N","P",80,,,870.130981445312,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRF","Catheter, Electrode Recording, Or Probe, Electrode Recording","2",2,,"N","N",78,,,870.122009277344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRG","Transmitters And Receivers, Physiological Signal, Radiofrequency","2",2,,"N","P",80,,,870.291015625,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRI","Monitor, Line Isolation","1",1,,"N","N",78,,,870.262023925781,4,,,,,"N","N"
"CV",6786,"CV",6786,"DRJ","System, Signal Isolation","1",1,,"N","N",78,,,870.260009765625,4,,,,,"N","N"
"CV",6786,"CV",6786,"DRK","Dc-Defibrillator, High Energy, (Including Paddles)","3",3,,"N","N",78,,,870.530029296875,2,"PMA to be filed by 12/26/96 (FR 50706 (9/27/96))",,,,"N","N"
"CV",6786,"CV",6786,"DRL","Tester, Defibrillator","2",2,,"N","P",80,,,870.532470703125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRM","Compressor, Cardiac, External","2",2,,"N","N",78,,,870.52001953125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRN","Device, Counter-Pulsating, External","2",2,,"N","N",78,,,870.522521972656,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRO","Pacemaker, Cardiac, External Transcutaneous (Non-Invasive)","2",2,,"N","N",78,,,870.554992675781,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DRP","Tourniquet, Automatic Rotating","2",2,,"N","P",80,,,870.592529296875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRQ","Amplifier And Signal Conditioner, Transducer Signal","2",2,,"N","P",80,,,870.205993652344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRR","Amplifier And Signal Conditioner, Biopotential","2",2,,"N","P",80,,,870.205017089844,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRS","Transducer, Blood-Pressure, Extravascular","2",2,,"N","P",80,,,870.284973144531,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRT","Monitor, Cardiac (Incl. Cardiotachometer & Rate Alarm)","2",2,,"N","Y",89,"M",77,870.22998046875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRW","Adaptor, Lead Switching, Electrocardiograph","2",2,,"N","Y",89,"M",77,870.234985351562,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRX","Electrode, Electrocardiograph","2",2,,"N","Y",89,"M",77,870.236022949219,4,,,,,"N","N"
"CV",6786,"CV",6786,"DRY","Monitor, Blood-Gas, On-Line, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.432983398438,1,,,,,"N","N"
"CV",6786,"CV",6786,"DRZ","Oscillometer","2",2,,"N","P",80,,,870.267517089844,4,,,,,"N","N"
"CV",6786,"CV",6786,"DSA","Cable, Transducer And Electrode, Patient, (Including Connector)","2",2,,"N","P",80,,,870.289978027344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSB","Plethysmograph, Impedance","2",2,,"N","P",80,,,870.276977539062,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSF","Recorder, Paper Chart","1",1,,"N","N",78,,,870.281005859375,4,,,,,"N","N"
"CV",6786,"CV",6786,"DSH","Recorder, Magnetic Tape, Medical","2",2,,"N","P",80,,,870.280029296875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSI","Detector And Alarm, Arrhythmia","2",2,,"N","N",78,,,870.102478027344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSJ","Alarm, Blood-Pressure","2",2,,"N","P",80,,,870.109985351562,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSK","Computer, Blood-Pressure","2",2,,"N","P",80,,,870.111022949219,1,,,,,"N","N"
"CV",6786,"CV",6786,"DSM","Alarm, Leakage Current, Portable","1",1,,"N","N",78,,,870.263977050781,4,,,,,"N","N"
"CV",6786,"CV",6786,"DSP","System, Balloon, Intra-Aortic And Control","2",2,,"N","N",78,,,870.353515625,1,,,,,"N","N"
"CV",6786,,,"DSQ","Ventricular (Assist) Bypass","3",3,,"N","N",78,,,,2,"Approved pma:  P870072",,,,"Y","N"
"CV",6786,"CV",6786,"DSR","Stimulator, Carotid Sinus Nerve","3",3,,"N","N",78,,,870.385009765625,2,"Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))",,,,"Y","N"
"CV",6786,"CV",6786,"DSS","Clip, Vascular","2",2,,"N","N",78,,,870.325012207031,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DST","Clip, Vena-Cava","2",2,,"N","N",78,,,870.325988769531,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DSW","Bag, Polymeric Mesh, Pacemaker","1",1,,"N","N",78,,,870.364990234375,4,,,,,"Y","N"
"CV",6786,"CV",6786,"DSY","Prosthesis, Vascular Graft, Of 6mm And Greater Diameter","2",2,,"N","N",78,,,870.344970703125,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DSZ","Pacemaker Battery","3",3,,"N","N",78,,,870.361022949219,2,,,,,"Y","N"
"CV",6786,"CV",6786,"DTA","Tester, Pacemaker Electrode Function","2",2,,"N","P",80,,,870.372009277344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DTB","Permanent Pacemaker Electrode","3",3,,"N","N",78,,,870.367980957031,2,,,,,"Y","N"
"CV",6786,"CV",6786,"DTC","Analyzer, Pacemaker Generator Function","2",2,,"N","P",80,,,870.362976074219,1,,,,,"N","N"
"CV",6786,"CV",6786,"DTD","Pacemaker Lead Adaptor","2",2,,"N","N",78,,,870.361999511719,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DTE","Pulse-Generator, Pacemaker, External","3",3,,"N","N",78,,,870.359985351562,1,,,,,"N","N"
"CV",6786,"CV",6786,"DTF","Tools, Pacemaker Service","1",1,,"N","N",78,,,870.372985839844,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTG","Magnet, Test, Pacemaker","1",1,,"N","N",78,,,870.369018554688,4,,,,,"N","N"
"SU",8385,,,"DTH","Suture, Cardiovascular","3",3,,"N","N",78,,,,2,,,,,"Y","N"
"CV",6786,"CV",6786,"DTI","Sizer, Heart-Valve, Prosthesis","1",1,,"N","N",78,,,870.394470214844,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTJ","Holder, Heart-Valve, Prosthesis","1",1,,"N","N",78,,,870.393493652344,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTK","Filter, Intravascular, Cardiovascular","2",2,,"N","N",78,,,870.337524414062,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DTL","Adaptor, Stopcock, Manifold, Fitting, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.429016113281,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTM","Filter, Blood, Cardiopulmonary Bypass, Arterial Line","2",2,,"N","N",78,,,870.426025390625,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DTN","Reservoir, Blood, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.440002441406,1,,,,,"N","N"
"CV",6786,"CV",6786,"DTP","Defoamer, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.422973632812,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DTQ","Console, Heart-Lung Machine, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.421997070312,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DTR","Heat-Exchanger, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.424011230469,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DTS","Sucker, Cardiotomy Return, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.442016601562,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTW","Monitor And/Or Control, Level Sensing, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.434020996094,4,,,,,"N","N"
"CV",6786,"CV",6786,"DTX","Gas Control Unit, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.429992675781,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DTY","Sensor, Blood-Gas, In-Line, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.440979003906,1,,,,,"N","N"
"CV",6786,"CV",6786,"DTZ","Oxygenator, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.434997558594,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DWA","Control, Pump Speed, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.43798828125,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DWB","Pump, Blood, Cardiopulmonary Bypass, Roller Type","2",2,,"N","N",78,,,870.43701171875,1,,,,,"N","Y"
"CV",6786,"CV",6786,"DWC","Controller, Temperature, Cardiopulmonary Bypass","2",2,,"N","N",78,,,870.424987792969,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,"N","Y"
"CV",6786,"CV",6786,"DWD","Suction Control, Intracardiac, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.442993164062,4,,,,,"N","N"
"CV",6786,"CV",6786,"DWE","Tubing, Pump, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.439025878906,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWF","Catheter, Cannula And Tubing, Vascular, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.421020507812,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWJ","System, Thermal Regulating","2",2,,"N","P",80,,,870.590026855469,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,"N","N"
"HO",7279,"HO",7279,"DWL","Stocking, Medical Support (To Prevent Pooling Of Blood In Legs)","2",2,,"N","P",80,,,880.578002929688,4,,,,,"N","N"
"CV",6786,"CV",6786,"DWM","Apparatus, Suction, Patient Care","2",2,,"N","P",80,,,870.505004882812,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWP","Dilator, Vessel, Surgical","2",2,,"N","P",80,,,870.447509765625,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWQ","Stripper, Vein, External","2",2,,"N","P",80,,,870.488525390625,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWS","Instruments, Surgical, Cardiovascular","1",1,,"N","N",78,,,870.450012207031,4,,,,,"N","N"
"CV",6786,"CV",6786,"DWX","Stripper, Artery, Intraluminal","2",2,,"N","P",80,,,870.487487792969,1,,,,,"N","N"
"CV",6786,"CV",6786,"DWZ","Device, Biopsy, Endomyocardial","2",2,,"N","P",80,,,870.407470703125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXC","Clamp, Vascular","2",2,,"N","P",80,,,870.445007324219,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXE","Catheter, Embolectomy","2",2,,"N","P",80,,,870.515014648438,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXF","Catheter, Septostomy","2",2,,"N","P",80,,,870.517517089844,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXG","Computer, Diagnostic, Pre-Programmed, Single-Function","2",2,,"N","P",80,,,870.143493652344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXH","Transmitters And Receivers, Electrocardiograph, Telephone","2",2,,"N","P",80,,,870.2919921875,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXJ","Display, Cathode-Ray Tube, Medical","2",2,,"N","P",80,,,870.244995117188,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXK","Echocardiograph","2",2,,"N","Y",89,"M",77,870.232971191406,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXL","Injector, Indicator","2",2,,"N","P",80,,,870.166015625,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXM","Densitometer","2",2,,"N","P",80,,,870.14501953125,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXN","System, Measurement, Blood-Pressure, Non-Invasive","2",2,,"N","Y",89,"M",77,870.112976074219,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXO","Transducer, Pressure, Catheter Tip","2",2,,"N","P",80,,,870.286987304688,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXP","Transducer, Vessel Occlusion","2",2,,"N","P",80,,,870.289001464844,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXQ","Blood Pressure Cuff","2",2,,"N","Y",89,"M",77,870.111999511719,1,"A blood pressure cuff is a device that has an inflatable bladder in an elastic sleeve(cuff) with a mechanism for inflating the bladder.  The cuff is used to determine a subject's blood pressure.",,,,"N","N"
"CV",6786,"CV",6786,"DXR","Ballistocardiograph","2",2,,"N","P",80,,,870.231994628906,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXS","Gauge, Pressure, Coronary, Cardiopulmonary Bypass","2",2,,"N","P",80,,,870.431030273438,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXT","Injector And Syringe, Angiographic","2",2,,"N","P",80,,,870.164978027344,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXW","System, Phonocatheter, Intracavitary","2",2,,"N","P",80,,,870.127014160156,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXX","System, Catheter Control, Steerable","2",2,,"N","P",80,,,870.129028320312,1,,,,,"N","N"
"CV",6786,"CV",6786,"DXY","Implantable Pacemaker Pulse-Generator","3",3,,"N","N",78,,,870.361022949219,2,,,,,"Y","N"
"CV",6786,"CV",6786,"DXZ","Patch, Pledget And Intracardiac, Petp, Ptfe, Polypropylene","2",2,,"N","N",78,,,870.346984863281,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DYB","Introducer, Catheter","2",2,,"N","P",80,,,870.133972167969,1,,,,,"N","N"
"CV",6786,"CV",6786,"DYC","Vectorcardiograph","2",2,,"N","P",80,,,870.239990234375,1,,,,,"N","N"
"CV",6786,"CV",6786,"DYE","Replacement Heart-Valve","3",3,,"N","N",78,,,870.392517089844,2,"Call for pmas to be filed by 12/9/87 (52 fr 23137 (6/17/87))",,,,"Y","N"
"CV",6786,"CV",6786,"DYF","Prosthesis, Vascular Graft, Of Less Then 6mm Diameter","2",2,,"N","N",78,,,870.344970703125,1,,,,,"Y","N"
"CV",6786,"CV",6786,"DYG","Catheter, Flow Directed","2",2,,"N","P",80,,,870.1240234375,1,,,,,"N","N"
"DE",6869,"DE",6869,"DYH","Adhesive, Bracket And Tooth Conditioner, Resin","2",2,,"N","P",80,,,872.375,1,,,,,"N","N"
"DE",6869,"DE",6869,"DYJ","Retainer, Screw Expansion, Orthodontic","1",1,,"N","N",78,,,872.541015625,4,,,,,"N","N"
"DE",6869,"DE",6869,"DYN","Mouthpiece, Saliva Ejector","1",1,,"N","Y",89,"M",77,872.664001464844,4,,,,,"N","N"
"DE",6869,"DE",6869,"DYO","Band, Material, Orthodontic","1",1,,"N","N",78,,,872.541015625,4,,,,,"N","N"
"DE",6869,"DE",6869,"DYT","Maintainer, Space Preformed, Orthodontic","1",1,,"N","N",78,,,872.552490234375,4,,,,,"N","N"
"DE",6869,"DE",6869,"DYW","Bracket, Plastic, Orthodontic","2",2,,"N","P",80,,,872.546997070312,1,,,,,"N","N"
"DE",6869,"DE",6869,"DYX","Lock, Wire, And Ligature, Intraoral","2",2,,"N","N",78,,,872.460021972656,1,,,,,"Y","N"
"DE",6869,"DE",6869,"DZA","Drill, Dental, Intraoral","1",1,,"N","N",78,,,872.413024902344,4,,,,,"N","N"
"DE",6869,"DE",6869,"DZB","Headgear, Extraoral, Orthodontic","2",2,,"N","P",80,,,872.549987792969,1,,,,,"N","N"
"DE",6869,"DE",6869,"DZC","Wire, Orthodontic","1",1,,"N","N",78,,,872.541015625,4,,,,,"N","N"
"DE",6869,"DE",6869,"DZD","Tube, Orthodontic","1",1,,"N","N",78,,,872.541015625,4,,,,,"N","N"
