code;text;long;starcode;never_main;gender;nonspecific
K801;Gallesten med annen galleblærebetennelse;Gallesten med annen galleblærebetennelse;;;;
K802;Gallesten uten galleblærebetennelse;Gallesten uten galleblærebetennelse;;;;
K803;Sten i gallegang med kolangitt;Sten i gallegang med kolangitt;;;;
K804;Sten i gallegang med galleblærebetennelse;Sten i gallegang med galleblærebetennelse;;;;
K805;Sten i gallegang uten kolangitt eller galleblærebetennelse;Sten i gallegang uten kolangitt eller galleblærebetennelse;;;;
K808;Annen spesifisert gallesten;Annen spesifisert gallesten;;;;
K810;Akutt galleblærebetennelse;Akutt galleblærebetennelse;;;;
K811;Kronisk galleblærebetennelse;Kronisk galleblærebetennelse;;;;
K818;Annen spesifisert galleblærebetennelse;Annen spesifisert galleblærebetennelse;;;;
K819;Uspesifisert galleblærebetennelse;Uspesifisert galleblærebetennelse;;;;X
K820;Obstruksjon i galleblære;Obstruksjon i galleblære;;;;
K821;Hydrops i galleblære;Hydrops i galleblære;;;;
K822;Perforasjon av galleblære;Perforasjon av galleblære;;;;
K823;Fistel i galleblære;Fistel i galleblære;;;;
K824;Kolesterolnedslag i galleblærevegg;Kolesterolnedslag i galleblærevegg;;;;
K828;Annen spesifisert sykdom i galleblære;Andre spesifiserte sykdommer i galleblære;;;;
K829;Uspesifisert sykdom i galleblære;Uspesifisert sykdom i galleblære;;;;X
K830;Kolangitt;Kolangitt;;;;
K8300;Primær skleroserende kolangitt;Primær skleroserende kolangitt;;;;
K831;Obstruksjon av gallegang;Obstruksjon av gallegang;;;;
K832;Perforasjon av gallegang;Perforasjon av gallegang;;;;
K833;Fistel i gallegang;Fistel i gallegang;;;;
K834;Spasme i sfinkter Oddi;Spasme i sfinkter Oddi;;;;
K835;Biliær cyste;Biliær cyste;;;;
K838;Annen spesifisert sykdom i galleveier;Andre spesifiserte sykdommer i galleveier;;;;
K839;Uspesifisert sykdom i galleveier;Uspesifisert sykdom i galleveier;;;;X
K850;Idiopatisk akutt pankreatitt;Idiopatisk akutt pankreatitt;;;;
K851;Biliær akutt pankreatitt;Biliær akutt pankreatitt;;;;
K852;Alkoholindusert akutt pankreatitt;Alkoholindusert akutt pankreatitt;;;;
K853;Legemiddelutløst akutt pankreatitt;Legemiddelutløst akutt pankreatitt;;;;
K858;Annen spesifisert akutt pankreatitt;Annen spesifisert akutt pankreatitt;;;;
K859;Upesifisert akutt pankreatitt;Upesifisert akutt pankreatitt;;;;
K860;Alkoholutløst kronisk pankreatitt;Alkoholutløst kronisk pankreatitt;;;;
K861;Annen kronisk pankreatitt;Annen kronisk pankreatitt;;;;
K862;Cyste i bukspyttkjertel;Cyste i bukspyttkjertel;;;;
K863;Pseudocyste i bukspyttkjertel;Pseudocyste i bukspyttkjertel;;;;
K868;Annen spesifisert ikke-infeksiøs sykdom i bukspyttkjertel;Andre spes. ikke-infeksiøse sykdommer i bukspyttkjertel;;;;
K869;Uspesifisert ikke-infeksiøs sykdom i bukspyttkjertel;Uspesifisert ikke-infeksiøs sykdom i bukspyttkjertel;;;;X
K870;Affeksjon i galleblære eller galleveier ved sykdom klassifisert annet sted;Aff. i galleblære og galleveier av sykd. klass. annet sted;X;X;;
K871;Affeksjon i bukspyttkjertel ved sykdom klassifisert annet sted;Affeksjoner i bukspyttkjertel av sykdommer klass. annet sted;X;X;;
K900;Cøliaki;Cøliaki;;;;
K901;Tropisk sprue;Tropisk sprue;;;;
K902;Blind loop-syndrom, ikke klassifisert annet sted;"""Blind loop""-syndrom, ikke klassifisert annet sted";;;;
K903;Pankreatisk steatoré;Pankreatisk steatoré;;;;
K904;Malabsorpsjon som skyldes intoleranse, ikke klassifisert annet sted;Malabsorpsjon som skyldes intoleranse IKAS;;;;
K908;Annen spesifisert intestinal malabsorpsjon;Annen spesifisert intestinal malabsorpsjon;;;;
K909;Uspesifisert intestinal malabsorpsjon;Uspesifisert intestinal malabsorpsjon;;;;X
K910;Oppkast etter gastrointestinal kirurgi;Oppkast etter gastrointestinal kirurgi;;;;
K911;Funksjonell forstyrrelse etter kirurgi på magesekk;Funksjonelle forstyrrelser etter kirurgi på magesekk;;;;
K912;Postoperativ malabsorpsjon, ikke klassifisert annet sted;Postoperativ malabsorpsjon, ikke klassifisert annet sted;;;;
K913;Postoperativ tarmobstruksjon;Postoperativ tarmobstruksjon;;;;
K914;Funksjonssvikt i kolostomi eller enterostomi;Funksjonssvikt i kolostomi og enterostomi;;;;
K915;Postkolecystektomisyndrom;Postkolecystektomisyndrom;;;;
K918;Annen spesifisert forstyrrelse i fordøyelsessystemet som følge av prosedyre, ikke klassifisert annet sted;A. spes. forst. i fordøy.syst. som følge av prosedyrer IKAS;;;;
K919;Uspesifisert forstyrrelse i fordøyelsessystemet som følge av prosedyre;Uspes. forst. i fordøyelsessystemet som følge av prosedyrer;;;;X
K920;Hematemese;Hematemese;;;;
K921;Melena;Melena;;;;
K922;Uspesifisert gastrointestinal blødning;Uspesifisert gastrointestinal blødning;;;;X
K928;Annen spesifisert sykdom i fordøyelsessystemet;Andre spesifiserte sykdommer i fordøyelsessystemet;;;;
K929;Uspesifisert sykdom i fordøyelsessystemet;Uspesifisert sykdom i fordøyelsessystemet;;;;X
K930;Tuberkuløs sykdom i tarm, bukhinne eller lymfeknuter i mesenterium;Tub. sykd. i tarmer, bukhinne og lymfeknuter i mesenterium;X;X;;
K931;Megacolon ved Chagas' sykdom;Megacolon ved Chagas' sykdom;X;X;;
K938;Sykdom i annet spesifisert fordøyelsesorgan ved sykdom klassifisert annet sted;Sykdommer i andre spes. fordøy.org. ved sykd. klass. a. sted;X;X;;
L00;«Staphylococcal scalded skin syndrome»;Hud-syndrom som skyldes stafylokokker;;;;
L010;Impetigo;Impetigo (enhver organisme) (enhver lokalisasjon);;;;
L011;Impetiginisering av annen dermatose;Impetiginisering av andre dermatoser;;;;
L020;Kutan abscess, furunkel eller karbunkel i ansikt;Kutan abscess, furunkel og karbunkel i ansikt;;;;
L021;Kutan abscess, furunkel eller karbunkel på hals;Kutan abscess, furunkel og karbunkel på hals;;;;
L022;Kutan abscess, furunkel eller karbunkel på trunkus;Kutan abscess, furunkel og karbunkel på trunkus;;;;
L023;Kutan abscess, furunkel eller karbunkel på sete;Kutan abscess, furunkel og karbunkel på sete;;;;
L024;Kutan abscess, furunkel eller karbunkel på ekstremitet;Kutan abscess, furunkel og karbunkel på ekstremitet;;;;
L028;Kutan abscess, furunkel eller karbunkel med annen spesifisert lokalisasjon;Kutan abscess/furunkel/karbunkel med annen spes.lokalisasjon;;;;
L029;Uspesifisert kutan abscess, furunkel eller karbunkel;Uspesifisert kutan abscess, furunkel og karbunkel;;;;X
L030;Cellulitt på finger eller tå;Cellulitt på finger og tå;;;;
L031;Cellulitt på annen del av ekstremitet;Cellulitt på andre deler av ekstremiteter;;;;
L032;Cellulitt i ansikt;Cellulitt i ansikt;;;;
L033;Cellulitt på trunkus;Cellulitt på trunkus;;;;
L038;Cellulitt med annen spesifisert lokalisasjon;Cellulitt med annen spesifisert lokalisasjon;;;;
L039;Uspesifisert cellulitt;Uspesifisert cellulitt;;;;X
L040;Akutt lymfadenitt i ansikt, hode eller på hals;Akutt lymfadenitt i ansikt, hode og på hals;;;;
L041;Akutt lymfadenitt på trunkus;Akutt lymfadenitt på trunkus;;;;
L042;Akutt lymfadenitt på overekstremitet;Akutt lymfadenitt på overekstremitet;;;;
L043;Akutt lymfadenitt på underekstremitet;Akutt lymfadenitt på underekstremitet;;;;
L048;Akutt lymfadenitt med annen spesifisert lokalisasjon;Akutt lymfadenitt med andre spesifiserte lokalisasjoner;;;;
L049;Uspesifisert akutt lymfadenitt;Uspesifisert akutt lymfadenitt;;;;X
L050;Pilonidalcyste med abscess;Pilonidalcyste med abscess;;;;
L059;Pilonidalcyste uten abscess;Pilonidalcyste uten abscess;;;;
L080;Pyodermi;Pyodermi;;;;
L081;Erythrasma;Erythrasma;;;;
L088;Annen spesifisert lokal infeksjon i hud eller underhud;Andre spesifiserte lokale infeksjoner i hud og underhud;;;;
L089;Uspesifisert lokal infeksjon i hud eller underhud;Uspesifisert lokal infeksjon i hud og underhud;;;;X
L100;Pemphigus vulgaris;Pemphigus vulgaris;;;;
L101;Pemphigus vegetans;Pemphigus vegetans;;;;
L102;Pemphigus foliaceus;Pemphigus foliaceus;;;;
L103;Brasiliansk pemfigus;Brasiliansk pemfigus;;;;
L104;Pemphigus erythematosus;Pemphigus erythematosus;;;;
L105;Legemiddelutløst pemfigus;Legemiddelutløst pemfigus;;;;
L108;Annen spesifisert pemfigus;Annen spesifisert pemfigus;;;;
L109;Uspesifisert pemfigus;Uspesifisert pemfigus;;;;X
L110;Ervervet follikulær keratose;Ervervet follikulær keratose;;;;
L111;Forbigående akantolytisk dermatose;Forbigående akantolytisk dermatose;;;;
L118;Annen spesifisert akantolytisk lidelse;Andre spesifiserte akantolytiske lidelser;;;;
L119;Uspesifisert akantolytisk lidelse;Uspesifisert akantolytisk lidelse;;;;X
L120;Bulløs pemfigoid;Bulløs pemfigoid;;;;
L121;Arrdannende pemfigoid;Arrdannende pemfigoid;;;;
L122;Kronisk bulløs sykdom hos barn;Kronisk bulløs sykdom hos barn;;;;
L123;Ervervet epidermolysis bullosa;Ervervet epidermolysis bullosa;;;;
L128;Annen spesifisert pemfigoid;Annen spesifisert pemfigoid;;;;
L129;Uspesifisert pemfigoid;Uspesifisert pemfigoid;;;;X
L130;Dermatitis herpetiformis;Dermatitis herpetiformis;;;;
L131;Dermatosis pustulosa subcornealis;Dermatosis pustulosa subcornealis;;;;
L138;Annen spesifisert bulløs lidelse;Andre spesifiserte bulløse lidelser;;;;
L139;Uspesifisert bulløs lidelse;Uspesifisert bulløs lidelse;;;;X
L14;Bulløs lidelse ved sykdom klassifisert annet sted;Bulløse lidelser ved sykdommer klassifisert annet sted;X;X;;
L200;Besniers prurigo;Besniers prurigo;;;;
L208;Annen spesifisert atopisk dermatitt;Annen spesifisert atopisk dermatitt;;;;
L209;Uspesifisert atopisk dermatitt;Uspesifisert atopisk dermatitt;;;;X
L210;Seborrhoea capitis;Seborrhoea capitis;;;;
L211;Seboréisk dermatitt hos spedbarn;Seboréisk dermatitt hos spedbarn;;;;
L218;Annen spesifisert seboréisk dermatitt;Annen spesifisert seboréisk dermatitt;;;;
L219;Uspesifisert seboréisk dermatitt;Uspesifisert seboréisk dermatitt;;;;X
L22;Bleiedermatitt;Bleiedermatitt;;;;
L230;Allergisk kontaktdermatitt som skyldes metall;Allergisk kontaktdermatitt som skyldes metaller;;;;
L231;Allergisk kontaktdermatitt som skyldes klebemiddel;Allergisk kontaktdermatitt som skyldes klebemidler;;;;
L232;Allergisk kontaktdermatitt som skyldes kosmetikk;Allergisk kontaktdermatitt som skyldes kosmetikk;;;;
L233;Allergisk kontaktdermatitt som skyldes legemiddel i kontakt med hud;All. kontaktdermatitt s. sk. legemidler i kontakt med hud;;;;
L234;Allergisk kontaktdermatitt som skyldes fargestoff;Allergisk kontaktdermatitt som skyldes fargestoffer;;;;
L235;Allergisk kontaktdermatitt som skyldes annet kjemisk produkt;All. kontaktdermatitt som skyldes andre kjemiske produkter;;;;
L236;Allergisk kontaktdermatitt som skyldes matvare i kontakt med hud;All. kontaktdermatitt som skyldes matvarer i kontakt med hud;;;;
L237;Allergisk kontaktdermatitt som skyldes kontakt med plante, unntatt matvarer;All. kontaktdermatitt som skyldes planter, unntatt matvarer;;;;
L238;Allergisk kontaktdermatitt som skyldes annet spesifisert stoff;Allergisk kontaktdermatitt som skyldes andre spes. stoffer;;;;
L239;Allergisk kontaktdermatitt av uspesifisert årsak;Allergisk kontaktdermatitt, uspesifisert årsak;;;;X
L240;Toksisk kontaktdermatitt som skyldes vaskemiddel;Toksisk kontaktdermatitt som skyldes vaskemidler;;;;
L241;Toksisk kontaktdermatitt som skyldes olje eller smøremiddel;Toksisk kontaktdermatitt som skyldes oljer og smøremidler;;;;
L242;Toksisk kontaktdermatitt som skyldes løsemiddel;Toksisk kontaktdermatitt som skyldes løsemidler;;;;
L243;Toksisk kontaktdermatitt som skyldes kosmetikk;Toksisk kontaktdermatitt som skyldes kosmetikk;;;;
L244;Toksisk kontaktdermatitt som skyldes legemiddel i kontakt med hud;Toksisk kontaktdermatitt s. sk. legemidler i kontakt med hud;;;;
L245;Toksisk kontaktdermatitt som skyldes annet kjemisk produkt;Toksisk kontaktdermatitt s. sk. andre kjemiske produkter;;;;
L246;Toksisk kontaktdermatitt som skyldes matvare i kontakt med hud;Toksisk kontaktdermatitt s. sk. matvarer i kontakt med hud;;;;
L247;Toksisk kontaktdermatitt som skyldes kontakt med plante, unntatt matvarer;Toksisk kontaktdermatitt s. sk. planter, unntatt matvarer;;;;
L248;Toksisk kontaktdermatitt som skyldes annet spesifisert stoff;Toksisk kontaktdermatitt som skyldes andre spes. stoffer;;;;
L249;Toksisk kontaktdermatitt av uspesifisert årsak;Toksisk kontaktdermatitt, uspesifisert årsak;;;;X
L250;Uspesifisert kontaktdermatitt som skyldes kosmetikk;Uspesifisert kontaktdermatitt som skyldes kosmetikk;;;;X
L251;Uspesifisert kontaktdermatitt som skyldes legemiddel i kontakt med hud;Uspes. kontaktdermatitt s. sk. legemidler i kontakt med hud;;;;X
L252;Uspesifisert kontaktdermatitt som skyldes fargestoff;Uspesifisert kontaktdermatitt som skyldes fargestoffer;;;;X
L253;Uspesifisert kontaktdermatitt som skyldes annet kjemisk produkt;Uspes. kontaktdermatitt som skyldes andre kjemiske produkter;;;;X
L254;Uspesifisert kontaktdermatitt som skyldes matvare i kontakt med hud;Uspes. kontaktdermatitt s. sk. matvarer i kontakt med hud;;;;X
L255;Uspesifisert kontaktdermatitt som skyldes kontakt med plante, unntatt matvarer;Uspes. kontaktdermatitt s. sk. planter, unntatt matvarer;;;;X
L258;Uspesifisert kontaktdermatitt som skyldes annet spesifisert stoff;Uspes. kontaktdermatitt som skyldes andre spes. stoffer;;;;X
L259;Uspesifisert kontaktdermatitt av uspesifisert årsak;Uspesifisert kontaktdermatitt, uspesifisert årsak;;;;X
L26;Eksfoliativ dermatitt;Eksfoliativ dermatitt;;;;
L270;Generalisert hudreaksjon som skyldes legemiddel;Generalisert hudreaksjon som skyldes legemidler;;;;
L271;Lokalisert hudreaksjon som skyldes legemiddel;Lokalisert hudreaksjon som skyldes legemidler;;;;
L272;Dermatitt som skyldes fortært matvare;Dermatitt som skyldes fortærte matvarer;;;;
L278;Dermatitt som skyldes annet spesifisert inntatt stoff;Dermatitt som skyldes andre spesifiserte inntatte stoffer;;;;
L279;Dermatitt som skyldes uspesifisert inntatt stoff;Dermatitt som skyldes uspesifisert inntatt stoff;;;;X
L280;Lichen simplex chronicus;Lichen simplex chronicus;;;;
L281;Prurigo nodularis;Prurigo nodularis;;;;
L282;Annen prurigo;Annen prurigo;;;;
L290;Pruritus ani;Pruritus ani;;;;
L291;Pruritus scroti;Pruritus scroti;;;M;
L292;Pruritus vulvae;Pruritus vulvae;;;K;
L293;Uspesifisert anogenital kløe;Uspesifisert anogenital kløe;;;;X
L298;Annen spesifisert kløe;Annen spesifisert kløe;;;;
L299;Uspesifisert kløe;Uspesifisert kløe;;;;X
L300;Nummulær dermatitt;Nummulær dermatitt;;;;
L301;Dyshidrose;Dyshidrose;;;;
L302;Kutan autosensibilisering;Kutan autosensibilisering;;;;
L303;Infeksiøs dermatitt;Infeksiøs dermatitt;;;;
L304;Intertriginøst erytem;Intertriginøst erytem;;;;
L305;Pityriasis alba;Pityriasis alba;;;;
L308;Annen spesifisert dermatitt;Annen spesifisert dermatitt;;;;
L309;Uspesifisert dermatitt;Uspesifisert dermatitt;;;;X
L400;Psoriasis vulgaris;Psoriasis vulgaris;;;;
L401;Generalisert pustuløs psoriasis;Generalisert pustuløs psoriasis;;;;
L402;Acrodermatitis continua;Acrodermatitis continua;;;;
L403;Pustulosis palmaris et plantaris;Pustulosis palmaris et plantaris;;;;
L404;Guttat psoriasis;Guttat psoriasis;;;;
L405;Psoriasis med artropati;Psoriasis med artropati (M07.0 -M07.3*, M09.0*);;;;
L408;Annen spesifisert psoriasis;Annen spesifisert psoriasis;;;;
L409;Uspesifisert psoriasis;Uspesifisert psoriasis;;;;X
L410;Pityriasis lichenoides et varioliformis acuta;Pityriasis lichenoides et varioliformis acuta;;;;
L411;Pityriasis lichenoides chronica;Pityriasis lichenoides chronica;;;;
L413;Parapsoriasis med små plakk;"Parapsoriasis med små ""plaques""";;;;
L414;Parapsoriasis med store plakk;"Parapsoriasis med store ""plaques""";;;;
L415;Retiform parapsoriasis;Retiform parapsoriasis;;;;
L418;Annen spesifisert parapsoriasis;Annen spesifisert parapsoriasis;;;;
L419;Uspesifisert parapsoriasis;Uspesifisert parapsoriasis;;;;X
L42;Pityriasis rosea;Pityriasis rosea;;;;
L430;Hypertrofisk lichen ruber planus;Hypertrofisk lichen ruber planus;;;;
L431;Bulløs lichen ruber planus;Bulløs lichen ruber planus;;;;
L432;Lichenoid legemiddelreaksjon;Lichenoid legemiddelreaksjon;;;;
L433;Subakutt lichen ruber planus;Subakutt (aktiv) lichen ruber planus;;;;
L438;Annen spesifisert lichen ruber planus;Annen spesifisert lichen ruber planus;;;;
L439;Uspesifisert lichen ruber planus;Uspesifisert lichen ruber planus;;;;X
L440;Pityriasis rubra pilaris;Pityriasis rubra pilaris;;;;
L441;Lichen nitidus;Lichen nitidus;;;;
L442;Lichen striatus;Lichen striatus;;;;
L443;Lichen ruber moniliformis;Lichen ruber moniliformis;;;;
L444;Infantil papuløs akrodermatitt;Infantil papuløs akrodermatitt;;;;
L448;Annen spesifisert papuloskvamøs lidelse;Andre spesifiserte papuloskvamøse lidelser;;;;
L449;Uspesifisert papuloskvamøs lidelse;Uspesifisert papuloskvamøs lidelse;;;;X
L45;Papuloskvamøs lidelse ved sykdom klassifisert annet sted;Papuloskvamøse lidelser ved sykdommer klass. annet sted;X;X;;
L500;Allergisk urticaria;Allergisk urticaria;;;;
L501;Idiopatisk urticaria;Idiopatisk urticaria;;;;
L502;Urticaria som skyldes kulde eller varme;Urticaria som skyldes kulde og varme;;;;
L503;Dermatografisk urticaria;Dermatografisk urticaria;;;;
L504;Vibrasjonsurticaria;Vibrasjonsurticaria;;;;
L505;Cholinerg urticaria;Cholinerg urticaria;;;;
L506;Kontakturticaria;Kontakturticaria;;;;
L508;Annen spesifisert urticaria;Annen spesifisert urticaria;;;;
L509;Uspesifisert urticaria;Uspesifisert urticaria;;;;X
L510;Ikke-bulløst erythema multiforme;Ikke-bulløst erythema multiforme;;;;
L511;Bulløst erythema multiforme;Bulløst erythema multiforme;;;;
L512;Toksisk epidermal nekrolyse [Lyells syndrom];Toksisk epidermal nekrolyse;;;;
L518;Annet spesifisert erythema multiforme;Annet spesifisert erythema multiforme;;;;
L519;Uspesifisert erythema multiforme;Uspesifisert erythema multiforme;;;;X
L52;Erythema nodosum;Erythema nodosum;;;;
L530;Toksisk erytem;Toksisk erytem;;;;
L531;Erythema annulare centrifugum;Erythema annulare centrifugum;;;;
L532;Erythema marginatum;Erythema marginatum;;;;
L533;Annet kronisk figurformet erytem;Annet kronisk figurformet erytem;;;;
L538;Annen spesifisert erytematøs tilstand;Andre spesifiserte erytematøse tilstander;;;;
L539;Uspesifisert erytematøs tilstand;Uspesifisert erytematøs tilstand;;;;X
L540;Erythema marginatum ved giktfeber;Erythema marginatum ved giktfeber;X;X;;
L548;Erytem ved annen sykdom klassifisert annet sted;Erytem ved andre sykdommer klassifisert annet sted;X;X;;
L550;Solforbrenning av første grad;Solforbrenning av første grad;;;;
L551;Solforbrenning av andre grad;Solforbrenning av andre grad;;;;
L552;Solforbrenning av tredje grad;Solforbrenning av tredje grad;;;;
L558;Annen spesifisert solforbrenning;Annen spesifisert solforbrenning;;;;
L559;Uspesifisert solforbrenning;Uspesifisert solforbrenning;;;;X
L560;Fototoksisk legemiddelreaksjon;Fototoksisk legemiddelreaksjon;;;;
L561;Fotoallergisk legemiddelreaksjon;Fotoallergisk legemiddelreaksjon;;;;
L562;Fotokontaktdermatitt;Fotokontaktdermatitt;;;;
L563;Solutløst urticaria;Solutløst urticaria;;;;
L564;Polymorft lyseksem;Polymorf lyseksem;;;;
L568;Annen spesifisert akutt hudforandring som skyldes ultrafiolett stråling;A. spes. ak. hudforandr. som skyldes ultrafiolett stråling;;;;
L569;Uspesifisert akutt hudforandring som skyldes ultrafiolett stråling;Uspes. akutt hudforandring som skyldes ultrafiolett stråling;;;;X
L570;Aktinisk keratose;Aktinisk keratose;;;;
L571;Aktinisk retikuloid;Aktinisk retikuloid;;;;
L572;Cutis rhomboidalis nuchae;Cutis rhomboidalis nuchae;;;;
L573;Civattes poikiloderma;Civattes poikiloderma;;;;
L574;Cutis laxa senilis;Cutis laxa senilis;;;;
L575;Aktinisk granulom;Aktinisk granulom;;;;
L578;Annen spesifisert hudforandring som skyldes kronisk eksposisjon for ikke-ioniserende stråling;A. spes. hudforandr. s. sk. kr. eksp. for ikke-ion. stråling;;;;
L579;Uspesifisert hudforandring som skyldes kronisk eksposisjon for ikke-ioniserende stråling;Uspes. hudforandr. s. sk. kr. eksp. for ikke-ion. stråling;;;;X
L580;Akutt radiodermatitt;Akutt radiodermatitt;;;;
L581;Kronisk radiodermatitt;Kronisk radiodermatitt;;;;
L589;Uspesifisert radiodermatitt;Uspesifisert radiodermatitt;;;;X
L590;Varmeerytem;Varmeerytem;;;;
L598;Annen spesifisert strålingsrelatert lidelse i hud eller underhud;Andre spes. strålingsrelaterte lidelser i hud og underhud;;;;
L599;Uspesifisert strålingsrelatert lidelse i hud eller underhud;Uspesifisert strålingsrelatert lidelse i hud og underhud;;;;X
L600;Inngrodd negl;Inngrodd negl;;;;
L601;Onykolyse;Onykolyse;;;;
L602;Onykogrypose;Onykogrypose;;;;
L603;Negledystrofi;Negledystrofi;;;;
L604;Beaus linjer;Beaus linjer;;;;
L605;Gule negler-syndrom;Gule negler-syndrom;;;;
L608;Annen spesifisert neglelidelse;Andre spesifiserte neglelidelser;;;;
L609;Uspesifisert neglelidelse;Uspesifisert neglelidelse;;;;X
L620;«Clubbing» av negler ved pakydermoperiostose;"""Clubbing"" av negler ved pakydermoperiostose";X;X;;
L628;Neglelidelse ved annen sykdom klassifisert annet sted;Neglelidelser ved andre sykdommer klassifisert annet sted;X;X;;
L630;Alopecia totalis;Alopecia (capitis) totalis;;;;
L631;Alopecia universalis;Alopecia universalis;;;;
L632;Ophiasis;Ophiasis;;;;
L638;Annen spesifisert flekkvis alopesi;Annen spesifisert flekkvis alopesi;;;;
L639;Uspesifisert flekkvis alopesi;Uspesifisert flekkvis alopesi;;;;X
L640;Legemiddelutløst androgen alopesi;Legemiddelutløst androgen alopesi;;;;
L648;Annen spesifisert androgen alopesi;Annen spesifisert androgen alopesi;;;;
L649;Uspesifisert androgen alopesi;Uspesifisert androgen alopesi;;;;X
L650;Telogen effluvium;Telogen effluvium;;;;
L651;Anagen effluvium;Anagen effluvium;;;;
L652;Mucinøs alopesi;Mucinøs alopesi;;;;
L658;Annet spesifisert hårtap uten arrdannelse;Annet spesifisert hårtap uten arrdannelse;;;;
L659;Uspesifisert hårtap uten arrdannelse;Uspesifisert hårtap uten arrdannelse;;;;X
L660;Pseudopelade;Pseudopelade;;;;
L661;Lichen planopilaris;Lichen planopilaris;;;;
L662;Folliculitis decalvans;Folliculitis decalvans;;;;
L663;Perifolliculitis capitis abscedens;Perifolliculitis capitis abscedens;;;;
L664;Folliculitis ulerythematosa reticulata;Folliculitis ulerythematosa reticulata;;;;
L668;Annen spesifisert alopesi med arrdannelse;Annen spesifisert alopesi med arrdannelse;;;;
L669;Uspesifisert alopesi med arrdannelse;Uspesifisert alopesi med arrdannelse;;;;X
L670;Trichorrhexis nodosa;Trichorrhexis nodosa;;;;
L671;Variasjon i hårfarge;Variasjoner i hårfarge;;;;
L678;Annen spesifisert abnormitet ved hårfarge eller hårskaft;Andre spesifiserte abnormiteter ved hårfarge og hårskaft;;;;
L679;Uspesifisert abnormitet ved hårfarge eller hårskaft;Uspesifisert abnormitet ved hårfarge og hårskaft;;;;X
L680;Hirsutisme;Hirsutisme;;;;
L681;Hypertrichosis lanuginosa acquisita;Hypertrichosis lanuginosa acquisita;;;;
L682;Lokalisert hypertrikose;Lokalisert hypertrikose;;;;
L683;Polytriki;Polytriki;;;;
L688;Annen spesifisert hypertrikose;Annen spesifisert hypertrikose;;;;
L689;Uspesifisert hypertrikose;Uspesifisert hypertrikose;;;;X
L700;Acne vulgaris;Acne vulgaris;;;;
L701;Acne conglobata;Acne conglobata;;;;
L702;Acne varioliformis;Acne varioliformis;;;;
L703;Acne tropica;Acne tropica;;;;
L704;Infantil akne;Infantil akne;;;;
L705;«Acné excoriée»;"""Acné excoriée""";;;K;
L708;Annen spesifisert akne;Annen spesifisert akne;;;;
L709;Uspesifisert akne;Uspesifisert akne;;;;X
L710;Perioral dermatitt;Perioral dermatitt;;;;
L711;Rinofyma;Rinofyma;;;;
L718;Annen spesifisert rosacea;Annen spesifisert rosacea;;;;
L719;Uspesifisert rosacea;Uspesifisert rosacea;;;;X
L720;Epidermalcyste;Epidermalcyste;;;;
L721;Retensjonscyste i talgkjertel eller hårsekk;Retensjonscyste i talgkjertel eller hårsekk;;;;
L722;Steatocystoma multiplex;Steatocystoma multiplex;;;;
L728;Annen spesifisert follikulær cyste i hud eller underhud;Andre spesifiserte follikulære cyster i hud og underhud;;;;
L729;Uspesifisert follikulær cyste i hud eller underhud;Uspesifisert follikulær cyste i hud og underhud;;;;X
L730;Akne keloid;Keloid akne;;;;
L731;Pseudofolliculitis barbae;Pseudofolliculitis barbae;;;;
L732;Purulent hidradenitt;Purulent hidradenitt;;;;
L738;Annen spesifisert follikkellidelse;Andre spesifiserte follikkellidelser;;;;
L739;Uspesifisert follikkellidelse;Uspesifisert follikkellidelse;;;;X
L740;Miliaria rubra;Miliaria rubra;;;;
L741;Miliaria crystallina;Miliaria crystallina;;;;
L742;Miliaria profunda;Miliaria profunda;;;;
L743;Uspesifisert miliaria;Uspesifisert miliaria;;;;X
L744;Anhidrose;Anhidrose;;;;
L748;Annen spesifisert lidelse i eksokrine svettekjertler;Andre spesifiserte lidelser i eksokrine svettekjertler;;;;
L749;Uspesifisert lidelse i eksokrine svettekjertler;Uspesifisert lidelse i eksokrine svettekjertler;;;;X
L750;Bromhidrose;Bromhidrose;;;;
L751;Kromhidrose;Kromhidrose;;;;
L752;Apokrin miliaria;Apokrin miliaria;;;;
L758;Annen spesifisert lidelse i apokrine svettekjertler;Andre spesifiserte lidelser i apokrine svettekjertler;;;;
L759;Uspesifisert lidelse i apokrine svettekjertler;Uspesifisert lidelse i apokrine svettekjertler;;;;X
L80;Vitiligo;Vitiligo;;;;
L810;Postinflammatorisk hyperpigmentering;Postinflammatorisk hyperpigmentering;;;;
L811;Kloasme;Kloasme;;;;
L812;Fregner;Fregner;;;;
L813;«Café-au-lait»-flekker;"""Café-au-lait""-flekker";;;;
L814;Annen melaninhyperpigmentering;Annen melaninhyperpigmentering;;;;
L815;Leukodermi ikke klassifisert annet sted;Leukodermi, ikke klassifisert annet sted;;;;
L816;Annen forstyrrelse med forminsket melanindannelse;Andre forstyrrelser med forminsket melanindannelse;;;;
L817;Pigmentert purpurisk dermatose;Pigmentert purpurisk dermatose;;;;
L818;Annen spesifisert forstyrrelse i pigmentering;Andre spesifiserte forstyrrelser i pigmentering;;;;
L819;Uspesifisert forstyrrelse i pigmentering;Uspesifisert forstyrrelse i pigmentering;;;;X
L82;Seboréisk keratose;Seboréisk keratose;;;;
L83;Acanthosis nigricans;Acanthosis nigricans;;;;
L84;Liktorner eller hornhud;Liktorner og hornhud;;;;
L850;Ervervet iktyose;Ervervet iktyose;;;;
